id,language,currentEducation,experienceYears,interest_list,skill_list,learningResource_list,tools_list
05bad4a0-5d10-4b4f-ab27-0e54403bdda4,English,Elementary,1,"['Cognitive Computing', 'Neural Networks', 'AI in Finance', 'AI in Education', 'AI for Games', '', 'AI Planning and Optimization', 'Robotics', 'Reinforcement Learning', 'Deep Learning', 'Recommender Systems', 'Generative AI', 'Natural Language Processing', 'Expert Systems']","['Recommender Systems', 'AI in Education']","['Stanford Online', 'Harvard Online', 'MIT OpenCourseWare', 'edX', 'YouTube', 'Coursera', 'GitHub', '', 'Kaggle', 'Udemy', 'DeepLearning.ai']","['DataRobot', 'Microsoft Azure AI', 'OpenAI GPT', 'IBM Watson', 'TensorFlow', 'OpenCV', 'Keras', 'Weka', 'Scikit-learn', 'RapidMiner', 'BigML', '']"
05cd7644-56a9-4de9-83b2-37909a575869,Thai,Master Degree,4,"['Speech Recognition', 'AI in Finance', 'AI Ethics', 'Recommender Systems', 'Cognitive Computing', 'AI in Education', 'Generative AI', 'Expert Systems', 'Natural Language Processing', 'Deep Learning', 'Machine Learning', 'Robotics', 'Computer Vision', 'Neural Networks', 'Autonomous Vehicles']","['Neural Networks', 'Reinforcement Learning', 'Natural Language Processing', 'AI Planning and Optimization', 'Cognitive Computing', '', 'Robotics', 'Expert Systems', 'Computer Vision']","['Udemy', 'YouTube', 'edX', 'DeepLearning.ai', 'Kaggle', 'GitHub', '', 'Stanford Online', 'MIT OpenCourseWare', 'Google AI', 'Coursera']","['PyTorch', 'Amazon SageMaker', 'RapidMiner', 'Scikit-learn', 'OpenCV', 'Weka', 'TensorFlow', 'DataRobot', 'Microsoft Azure AI', 'OpenAI GPT', 'Keras']"
06a5167b-429c-40d7-af95-8c08e3ae8d3c,Mandarin,Undergraduate Degree,3,"['AI in Education', 'Cognitive Computing', 'Autonomous Vehicles', 'Deep Learning', 'AI for Games', 'AI in Finance', 'Machine Learning', 'Robotics', 'Recommender Systems', 'Expert Systems', 'Computer Vision', 'AI Planning and Optimization', 'Generative AI', 'AI Ethics']","['Deep Learning', 'Cognitive Computing', 'Recommender Systems', 'AI in Education', 'AI in Healthcare', 'Neural Networks', 'AI Planning and Optimization', 'Speech Recognition']","['DeepLearning.ai', '', 'Coursera', 'MIT OpenCourseWare']","['Weka', 'Hugging Face Transformers', 'Keras', 'OpenAI GPT', 'Microsoft Azure AI', 'DataRobot']"
0a7c5ce8-da53-4462-98b4-15b48159a72c,Arabic,Undergraduate Degree,3,"['Recommender Systems', 'AI Planning and Optimization', 'AI for Games', 'Neural Networks']","['Autonomous Vehicles', '', 'Cognitive Computing', 'Deep Learning', 'Generative AI', 'Machine Learning', 'Expert Systems']","['MIT OpenCourseWare', 'Stanford Online']","['Scikit-learn', '', 'Weka', 'Microsoft Azure AI', 'PyTorch', 'Google Cloud AI', 'OpenCV', 'RapidMiner', 'DataRobot', 'BigML', 'OpenAI GPT']"
0d1bfc79-4a6b-453c-a275-66924a1c8b5e,Portuguese,Master Degree,4,"['Expert Systems', 'Generative AI', 'Computer Vision', 'AI in Finance', 'Natural Language Processing', 'AI for Games', 'Cognitive Computing', 'AI Planning and Optimization', 'AI in Healthcare', 'AI Ethics', 'Deep Learning', 'Speech Recognition', 'Recommender Systems']","['Robotics', 'Reinforcement Learning', 'Natural Language Processing', 'AI in Finance', 'Neural Networks', 'Autonomous Vehicles', 'AI in Education', 'Deep Learning', 'Generative AI']","['GitHub', 'Stanford Online']","['RapidMiner', '', 'OpenAI GPT', 'TensorFlow', 'Google Cloud AI', 'BigML']"
0db9f31f-2cf0-43e3-a019-301e94135edf,Greek,Elementary,1,"['Cognitive Computing', 'Deep Learning', 'AI in Healthcare', 'AI Planning and Optimization', 'Robotics', 'Speech Recognition', 'Autonomous Vehicles']","['Neural Networks', 'Cognitive Computing']","['edX', 'MIT OpenCourseWare', '', 'Google AI', 'Udemy', 'DeepLearning.ai', 'Harvard Online', 'Stanford Online', 'GitHub', 'YouTube', 'Kaggle']","['IBM Watson', 'PyTorch', 'Weka', 'RapidMiner', 'OpenAI GPT', 'Microsoft Azure AI', 'OpenCV', 'Keras', 'Hugging Face Transformers', 'BigML']"
0f7fa6be-7004-401c-ae65-75dd7bbfb47b,Japanese,Master Degree,4,"['Autonomous Vehicles', 'Cognitive Computing', 'AI in Education']","['AI Ethics', '', 'Generative AI', 'AI for Games', 'Neural Networks', 'AI in Education', 'Speech Recognition', 'Robotics', 'Reinforcement Learning']","['Udemy', 'GitHub', 'Coursera', 'Harvard Online', 'YouTube', 'DeepLearning.ai', 'MIT OpenCourseWare']","['Weka', 'OpenAI GPT', 'BigML', 'Google Cloud AI', 'TensorFlow', 'Keras', 'OpenCV', 'IBM Watson', 'DataRobot']"
107262b0-8e71-4d09-9707-4a0409214dbe,Polish,Middle School,2,"['Recommender Systems', 'Robotics', '', 'Expert Systems']","['AI Ethics', 'Neural Networks', 'Deep Learning', 'Speech Recognition']","['', 'YouTube', 'MIT OpenCourseWare', 'Google AI', 'Stanford Online', 'DeepLearning.ai', 'Kaggle']","['Hugging Face Transformers', 'IBM Watson', 'DataRobot', 'BigML']"
12664aa9-79e9-4a96-99a7-71c0f9c5565b,German,Middle School,2,"['Machine Learning', 'AI Planning and Optimization', '', 'Autonomous Vehicles', 'Neural Networks', 'Speech Recognition', 'AI in Education', 'Reinforcement Learning', 'AI for Games', 'Generative AI', 'Deep Learning']","['AI Ethics', 'Autonomous Vehicles', 'Robotics', 'AI for Games']","['Harvard Online', 'Stanford Online', 'GitHub', 'edX', 'Udemy', 'Kaggle', 'YouTube', 'MIT OpenCourseWare', '', 'DeepLearning.ai']","['Amazon SageMaker', 'Microsoft Azure AI', 'IBM Watson', 'DataRobot', 'Hugging Face Transformers', 'Weka', 'RapidMiner', 'PyTorch']"
152d8821-cddb-440b-b28d-35373fc7263b,Turkish,University,2,"['Speech Recognition', 'Autonomous Vehicles', 'AI Ethics', 'Recommender Systems', 'AI in Healthcare', 'Natural Language Processing', 'Reinforcement Learning']","['Neural Networks', 'Computer Vision', 'Expert Systems', 'AI in Healthcare', 'AI Ethics', 'Cognitive Computing']","['MIT OpenCourseWare', 'Google AI', 'edX', 'Coursera', 'Stanford Online', 'GitHub', 'Harvard Online', 'Udemy', '']","['PyTorch', 'DataRobot', 'OpenAI GPT', 'RapidMiner', 'TensorFlow', 'Keras']"
