,id,currentEducation,experienceYears,language,interest_list,skill_list,learningResource_list,tools_list
0,09402335-8314-428f-9034-05f82dbb6e86,Elementary,1,Bengali,"['Natural Language Processing', 'Machine Learning', 'Autonomous Vehicles', 'Deep Learning', '', 'Recommender Systems', 'Generative AI', 'Speech Recognition', 'Robotics', 'AI in Finance', 'Cognitive Computing', 'Neural Networks']","['Coursera', 'DeepLearning.ai']","['YouTube', 'MIT OpenCourseWare', 'Google AI', 'GitHub', 'Coursera', 'DeepLearning.ai', 'edX']","['OpenAI GPT', 'TensorFlow', 'Keras', 'BigML', 'OpenCV', 'IBM Watson']"
1,0954250a-ff74-4d53-9a24-158079dc4c46,Master Degree,4,Polish,"['Speech Recognition', 'Computer Vision', 'Expert Systems', '', 'AI for Games']","['Harvard Online', 'Google AI', 'GitHub', 'edX', 'Stanford Online', 'Coursera', 'YouTube', 'MIT OpenCourseWare', 'DeepLearning.ai']","['Kaggle', 'edX', 'Udemy', 'YouTube', 'GitHub', 'Harvard Online', 'DeepLearning.ai', 'MIT OpenCourseWare']","['OpenCV', 'TensorFlow', 'PyTorch', 'OpenAI GPT', 'Google Cloud AI', 'RapidMiner', 'Microsoft Azure AI', 'BigML', 'DataRobot', 'Scikit-learn', 'Hugging Face Transformers', 'IBM Watson']"
2,0ddaa6f8-dd89-436c-9f32-3e6681196334,Master Degree,4,Korean,['Recommender Systems'],"['YouTube', 'Kaggle', 'edX', 'Harvard Online', 'Stanford Online', 'Udemy', 'MIT OpenCourseWare', 'GitHub', 'Google AI']","['Harvard Online', 'Coursera', 'edX', 'Stanford Online', 'MIT OpenCourseWare', 'GitHub', 'YouTube']","['PyTorch', 'RapidMiner', 'Keras', 'BigML', 'Scikit-learn', 'OpenAI GPT', 'DataRobot', 'Amazon SageMaker', 'Microsoft Azure AI', 'Hugging Face Transformers', 'TensorFlow', 'OpenCV', 'Weka', 'Google Cloud AI', 'IBM Watson']"
3,0de5ae3b-df5f-4b37-b2ff-bf02688cf82d,Undergraduate Degree,3,Portuguese,"['Autonomous Vehicles', 'AI for Games', 'Robotics']","['Kaggle', 'edX', 'Stanford Online', '', 'MIT OpenCourseWare', 'DeepLearning.ai', 'YouTube', 'Google AI']","['MIT OpenCourseWare', 'Google AI', 'Stanford Online', 'Harvard Online', 'Coursera', 'YouTube', 'edX', 'Udemy', 'Kaggle', '', 'DeepLearning.ai']",['OpenCV']
4,0e2d3a93-8e69-4e94-bfe7-3b6389fadd9e,Elementary,1,German,"['Computer Vision', 'Speech Recognition', 'AI in Education', 'Natural Language Processing', 'Autonomous Vehicles', 'AI in Healthcare', 'Generative AI', 'Deep Learning', 'Expert Systems', 'Machine Learning', 'AI Planning and']","['Harvard Online', 'MIT OpenCourseWare']","['MIT OpenCourseWare', 'YouTube', 'Stanford Online', 'edX', '', 'Coursera', 'GitHub', 'Harvard Online']","['RapidMiner', 'OpenCV', 'Microsoft Azure AI', 'PyTorch']"
5,0fd7f501-e247-4d66-bb2e-482bcd5598b7,Elementary,1,Thai,"['Robotics', 'AI Planning and Optimization', 'Natural Language Processing', 'Computer Vision', 'AI Ethics', 'Recommender Systems', 'AI for Games', 'Expert Systems', '', 'AI in Education', 'Autonomous Vehicles', 'Deep Learning', '']","['YouTube', 'Coursera']","['GitHub', 'edX', 'Harvard Online', '', 'Stanford Online']","['Google Cloud AI', 'PyTorch', 'OpenCV', 'Weka', '', 'IBM Watson', 'OpenAI GPT', 'TensorFlow', 'RapidMiner', 'Hugging Face Transformers', 'DataRobot', 'Amazon SageMaker']"
6,11b4c66b-19fa-4e2c-a253-402658b31f03,Elementary,1,Dutch,"['Reinforcement Learning', 'Computer Vision', 'AI in Healthcare', 'AI for Games', 'Robotics', 'Deep Learning', 'Neural Networks', 'AI in Finance', 'Speech Recognition', 'AI in Education', 'Generative AI', 'Natural Language Pro']","['Kaggle', 'YouTube']","['Stanford Online', 'Coursera', '', 'DeepLearning.ai', 'Harvard Online', 'Google AI', 'Udemy', 'Kaggle', 'edX', 'MIT OpenCourseWare', 'YouTube']","['RapidMiner', 'BigML', 'Scikit-learn']"
7,11dec26c-5706-4f18-892f-13e928042847,High School,0,Thai,"['AI in Finance', 'Recommender Systems', 'AI in Healthcare']",['Kaggle'],"['GitHub', '', 'Harvard Online']","['Weka', '', 'BigML', 'Google Cloud AI', 'TensorFlow', 'Microsoft Azure AI', 'IBM Watson', 'DataRobot', 'Keras', 'OpenCV', 'Hugging Face Transformers', 'OpenAI GPT', 'PyTorch', 'Amazon SageMaker', 'Scikit-learn']"
8,13892b68-8a7e-4c62-ac13-61bd64b562fb,University,2,Turkish,"['', 'Generative AI', 'AI for Games', 'AI in Healthcare', 'AI Ethics', 'Neural Networks', 'Robotics', 'Machine Learning', 'Deep Learning', 'Speech Recognition', 'Autonomous Vehicles', 'AI in Finance', 'AI in Education', 'Computer Vi']","['Kaggle', '', 'Harvard Online', 'YouTube', 'Stanford Online', 'Coursera']","['Udemy', 'MIT OpenCourseWare', 'YouTube', 'edX', '', 'Harvard Online', 'Google AI', 'Kaggle', 'Coursera', 'GitHub', 'DeepLearning.ai']","['OpenCV', 'DataRobot', 'RapidMiner', 'Hugging Face Transformers', 'Google Cloud AI', 'Scikit-learn', 'PyTorch', 'Amazon SageMaker', 'TensorFlow', 'OpenAI GPT', 'Microsoft Azure AI', 'IBM Watson', 'BigML']"
11,171398b6-15a8-4543-8941-8710e20d16f9,Master Degree,4,Swedish,"['Cognitive Computing', 'AI in Finance', 'Machine Learning', 'Speech Recognition', 'AI for Games', '', 'Robotics', 'AI in Healthcare', 'AI Ethics', 'Autonomous Vehicles', 'Natural Language Processing']","['DeepLearning.ai', 'GitHub', 'Harvard Online', 'Stanford Online', 'Udemy', 'MIT OpenCourseWare', 'edX', 'YouTube', 'Kaggle']","['DeepLearning.ai', 'Coursera', 'YouTube', 'Stanford Online', 'Kaggle', 'Google AI', 'MIT OpenCourseWare']","['Hugging Face Transformers', 'OpenCV', 'TensorFlow', 'Scikit-learn', 'Google Cloud AI', 'DataRobot', 'Microsoft Azure AI', 'RapidMiner', 'PyTorch', 'Weka', 'Keras', '', 'IBM Watson', 'BigML']"
